posicao,time,jogos,pontos,vitorias,gols_pro,gols_contra,saldo
1,Flamengo RJ,28,60,18,55.0,23.0,32.0
2,Palmeiras,28,57,16,47.0,21.0,26.0
3,Athletico-PR,28,49,14,43.0,32.0,11.0
4,Fluminense,28,48,13,44.0,36.0,8.0
5,Bahia,28,46,12,43.0,35.0,8.0
6,Cruzeiro,28,45,13,42.0,40.0,2.0
7,Atletico-MG,27,40,11,36.0,32.0,4.0
8,Santos,27,38,10,41.0,40.0,1.0
9,Coritiba,28,38,10,37.0,43.0,-6.0
10,Bragantino,27,36,10,33.0,31.0,2.0
11,Sao Paulo,27,36,10,32.0,30.0,2.0
12,Botafogo RJ,28,35,9,41.0,45.0,-4.0
13,Vitoria,28,33,9,28.0,42.0,-14.0
14,Corinthians,28,32,8,29.0,32.0,-3.0
15,Mirassol,28,32,8,33.0,42.0,-9.0
16,Vasco,27,31,8,34.0,41.0,-7.0
17,Gremio,28,29,7,30.0,38.0,-8.0
18,Internacional,28,28,6,30.0,36.0,-6.0
19,Remo,28,23,5,32.0,47.0,-15.0
20,Chapecoense-SC,27,18,3,29.0,53.0,-24.0
