temporada,n,Média de mercado,Máxima do mercado,Pinnacle,Betfair Exchange,Bet365
2012,380,100.0,100.0,100.0,0.0,0.0
2013,380,100.0,100.0,100.0,0.0,0.0
2014,380,100.0,100.0,100.0,0.0,0.0
2015,380,100.0,100.0,100.0,0.0,0.0
2016,380,100.0,100.0,99.7,0.0,0.0
2017,380,100.0,100.0,100.0,0.0,0.0
2018,380,100.0,100.0,100.0,0.0,0.0
2019,380,100.0,100.0,100.0,0.0,0.0
2020,380,100.0,100.0,100.0,0.0,0.0
2021,380,100.0,100.0,100.0,0.0,0.0
2022,380,100.0,100.0,100.0,0.0,0.0
2023,380,100.0,100.0,100.0,0.0,0.0
2024,380,100.0,100.0,100.0,61.8,0.0
2025,380,100.0,100.0,88.4,100.0,53.2
2026,277,100.0,100.0,0.0,89.2,100.0
