chance_green,cotacao_oferecida,cotacao_minima,prob_implicita,valor_esperado,vantagem,retorno_se_green,vale_a_pena
0.4,1.2,2.5,0.833333,-0.52,-0.433333,0.2,False
0.4,1.5,2.5,0.666667,-0.4,-0.266667,0.5,False
0.4,1.8,2.5,0.555556,-0.28,-0.155556,0.8,False
0.4,2.0,2.5,0.5,-0.2,-0.1,1.0,False
0.4,2.5,2.5,0.4,0.0,0.0,1.5,False
0.4,3.0,2.5,0.333333,0.2,0.066667,2.0,True
0.4,4.0,2.5,0.25,0.6,0.15,3.0,True
0.4,5.0,2.5,0.2,1.0,0.2,4.0,True
0.4,7.0,2.5,0.142857,1.8,0.257143,6.0,True
0.4,10.0,2.5,0.1,3.0,0.3,9.0,True
