n,Rodada,Data,Mandante,Visitante,prob_H,prob_D,prob_A,gols_esperados_mandante,gols_esperados_visitante,gols_esperados_total,prob_over_25,prob_under_25,prob_ambas_marcam,prob_mandante_marca,prob_visitante_marca,placar_mais_provavel,prob_placar_mais_provavel,multigols_0_1,multigols_0_2,multigols_0_3,multigols_1_2,multigols_1_3,multigols_1_4,multigols_2_3,multigols_2_4,multigols_2_5,multigols_3_4,multigols_3_5,multigols_3_6,mais_de_0_5,mais_de_1_5,mais_de_2_5,mais_de_3_5,mais_de_4_5,escanteios_mandante,escanteios_visitante,escanteios_total,escanteios_mais_7_5,escanteios_mais_8_5,escanteios_mais_9_5,escanteios_mais_10_5,escanteios_mais_11_5,escanteios_mais_12_5,cartoes_mandante,cartoes_visitante,cartoes_total,cartoes_mais_2_5,cartoes_mais_3_5,cartoes_mais_4_5,cartoes_mais_5_5,cartoes_mais_6_5,sem_historico_stats,situacao,palpite_1x2,palpite_seguro,palpite_seguro_prob,dupla_1x,dupla_12,dupla_x2,menos_de_2_5,ambas_nao
1,21,2026-07-30,Chapecoense-SC,Vasco,0.3542235989227654,0.2486149351526159,0.39716146592461854,1.3630288587240778,1.4580492392993496,2.8210780980234276,0.5355567940795335,0.4644432059204664,0.5695785730257875,0.7441159247665347,0.767311092783945,1-1,0.11694104234948742,0.2289024841255098,0.4644432059204664,0.6872435583919148,0.4062916504451588,0.6290920029166072,0.7862266461978775,0.4583410742664051,0.6154757175476754,0.7041337321162882,0.3799349957527189,0.46859301032133144,0.5102782989328022,0.9418484445246922,0.7710975158744902,0.5355567940795335,0.3127564416080851,0.15562179832681458,4.040392237295371,4.926572957284257,8.966965194579629,0.6481235165731781,0.5266947567812107,0.408186079182415,0.30184551030609696,0.2132648757028447,0.144226972423515,1.8925736315614174,1.6565297588542713,3.549103390415689,0.6764986367476706,0.4690312427598009,0.2872162977486623,0.15685584398413632,0.0772374286407137,não,adiado,Fora,Multi-gols 1-4,0.7862266461978775,0.6028385340753812,0.7513850648473839,0.6457764010772344,0.4644432059204665,0.4304214269742125
2,21,2026-10-02,Sao Paulo,Santos,0.5036388933844423,0.2584382343147283,0.23792287230082934,1.4954019318604563,0.9368558627915605,2.432257794652017,0.4386971085952396,0.5613028914047605,0.47037712158755357,0.7758425477128519,0.6081420629232765,1-0,0.1327987503492658,0.3029280616982032,0.5613028914047605,0.7719532420110087,0.47491038045333545,0.6855607310595836,0.8136499951850652,0.4690251803128055,0.5971144444382872,0.6594238003429462,0.33873961473172987,0.40104897063638884,0.42630776092715866,0.913607489048575,0.6970719383017969,0.4386971085952396,0.22804675798899138,0.09995749386350967,6.433474457555486,4.025331357214998,10.458805814770484,0.7851308879236816,0.6864633444484307,0.5775834679722457,0.46711428094179386,0.36306821181847515,0.27137879844140445,2.3247054395232793,3.108445633206608,5.4331510727298875,0.8930307950541121,0.7727518675803124,0.6179282750216748,0.4548780915016104,0.308607564995655,não,programado,Casa,Multi-gols 1-4,0.8136499951850652,0.7620771276991707,0.7415617656852717,0.49636110661555766,0.5613028914047604,0.5296228784124464
3,21,2026-10-03,Atletico-MG,Bragantino,0.512882686211862,0.252716665258713,0.2344006485294253,1.5484607154350365,0.9548446536560992,2.503305369091136,0.4570359312757307,0.5429640687242693,0.482947349799624,0.7874264335146145,0.615128093774383,1-0,0.12810649530133242,0.28803936685251086,0.5429640687242693,0.7568683548586373,0.46257124621364243,0.6764755323480106,0.8103428571889458,0.46882898800612655,0.6026963128470616,0.669718665634556,0.3477716109753033,0.41479396376279765,0.4427569473767904,0.9196071774893733,0.7119606331474891,0.4570359312757307,0.24313164514136265,0.10926432030042751,6.461284962662421,4.428294284120059,10.88957924678248,0.8157161220492365,0.725031096878435,0.6217504883535218,0.5136015568530949,0.4084739789235593,0.31286028826964607,2.2240307743087806,3.2104137091417564,5.434444483450537,0.8931166633228232,0.7728992564475978,0.6181223209307106,0.45508700519988965,0.3087990681687107,não,programado,Casa,Multi-gols 1-4,0.8103428571889458,0.765599351470575,0.7472833347412873,0.4871173137881383,0.5429640687242693,0.517052650200376
4,29,2026-10-07,Athletico-PR,Atletico-MG,0.4558746398421401,0.26851343048742365,0.2756119296704361,1.3796872741722013,1.0066885284860776,2.386375802658279,0.42672819231832404,0.5732718076816758,0.473378218688515,0.7483432995838628,0.6345729561344537,1-0,0.128379448561359,0.31291887828502496,0.5732718076816758,0.7815653507144341,0.4828098447114775,0.6911033877442359,0.8153701856480159,0.4686464724294092,0.5929132703331893,0.6522227883774634,0.33256034093653836,0.39186985898081234,0.41545901681152914,0.9095380370298014,0.687081121714975,0.42672819231832404,0.21843464928556572,0.09416785138178563,5.633380614449662,4.4950214466488045,10.128402061098466,0.7590258339883081,0.6544655067038879,0.5419658365275448,0.4306759245018603,0.3284758223791051,0.2406634201118094,2.296924381797574,2.6827937467367966,4.979718128534371,0.8586522234004802,0.7160316103302632,0.5461137049986855,0.38048616566984306,0.2429625331270555,não,programado,Casa,Multi-gols 1-4,0.8153701856480159,0.7243880703295638,0.7314865695125762,0.5441253601578597,0.573271807681676,0.5266217813114851
5,29,2026-10-07,Botafogo RJ,Vasco,0.5964887406916014,0.2167404643288265,0.18677079497957233,1.9114343763763548,0.964114865209737,2.8755492415860915,0.5483675481104981,0.451632451889502,0.5259801975586228,0.8521385548873209,0.6186794536466326,1-0,0.10899493100470481,0.21973685158495407,0.451632451889502,0.6750819283899637,0.3964702628648325,0.6199197393652943,0.7805575697552761,0.4553450768050097,0.6159829071949916,0.7083689372060209,0.3840873068904437,0.47647333690147314,0.5207508820293234,0.9448378109753306,0.7802631484150461,0.5483675481104981,0.3249180716100363,0.1642802412200544,4.924670506162707,3.7299705851250895,8.654641091287797,0.6132540700398779,0.4889579810889727,0.3710975348598925,0.26834348844879075,0.18518228487526756,0.12220968891298956,2.2191073897218954,2.5662530970936945,4.7853604868155895,0.8410252513742973,0.6885280432745627,0.5131941487959523,0.34826157988047746,0.21610209145606185,não,programado,Casa,Casa ou empate (1X),0.813229205020428,0.813229205020428,0.7832595356711738,0.4035112593083988,0.45163245188950185,0.4740198024413772
6,29,2026-10-07,Bragantino,Mirassol,0.4291585761565018,0.2565522591289172,0.3142891647145811,1.4416106986797772,1.1943479008735307,2.635958599553308,0.4905605522096295,0.5094394477903705,0.5307540837145799,0.7634543262563697,0.6970987488233963,1-1,0.12191724178377734,0.26196563802446726,0.5094394477903705,0.7281565145996078,0.43923843915555655,0.6579555059647939,0.8020880206536856,0.4661908765751407,0.6103233912640325,0.6863089815743216,0.3628495814981291,0.43883517180841825,0.4722177037748395,0.9297989913651861,0.7380343619755326,0.4905605522096295,0.2718434854003921,0.12771097071150034,6.400862798385606,5.373142279577713,11.774005077963318,0.8672651678172638,0.7930473403813034,0.703269893283484,0.6034202538640752,0.5003302084836929,0.40074474280633654,2.422321751349976,2.4327672243154,4.855088975665376,0.847566463911169,0.698620686943821,0.5251385812733607,0.3598214985668713,0.22562778781470794,não,programado,Casa,Multi-gols 1-4,0.8020880206536856,0.6857108352854191,0.7434477408710829,0.5708414238434983,0.5094394477903705,0.4692459162854201
7,29,2026-10-07,Cruzeiro,Sao Paulo,0.4808147427602276,0.2793156364129396,0.23986962082683277,1.326959644446846,0.8456355608447108,2.172595205291557,0.3699293899250321,0.6300706100749679,0.41781396712278207,0.734717801301295,0.5707155721333467,1-0,0.15261728736588145,0.36280106679427243,0.6300706100749679,0.8247139011313812,0.5176900163868273,0.7123333074432405,0.8180536584797665,0.4619128343371087,0.5676331853736346,0.6135707260414889,0.3003636420929391,0.3463011827607935,0.36293514224226936,0.8876194063118596,0.6371989332057277,0.3699293899250321,0.17528609886861884,0.06956574783209306,5.836829238407296,4.447445463498708,10.284274701906003,0.7716344034768908,0.6698192341947784,0.5589440623646116,0.4479304182949022,0.34474712326040247,0.2550142810486671,2.766595402077079,2.956047711346136,5.722643113423215,0.9107199467172127,0.8038025605037968,0.6597420107427125,0.5009318227375648,0.351802504166395,não,programado,Casa,"Menos de 3,5 gols",0.8247139011313811,0.7601303791731673,0.7206843635870603,0.5191852572397724,0.6300706100749679,0.5821860328772179
8,29,2026-10-07,Fluminense,Coritiba,0.6272277525220156,0.21039360881337404,0.16237863866461041,1.9490102470352466,0.871632400486378,2.8206426475216246,0.5354637478492384,0.4645362521507615,0.49770042621034266,0.8575927278709845,0.5817317991666906,1-0,0.11728383019749711,0.22876655536557702,0.4645362521507615,0.6873325315609207,0.4061603529780939,0.6289566323882532,0.786067176363151,0.45856597619534367,0.6156765201702417,0.704308962663221,0.37990682338505716,0.46853926587803635,0.5102069014141465,0.9416241008273323,0.7712334446344229,0.5354637478492384,0.3126674684390792,0.15555692446418132,6.871681234884215,3.1682281170374758,10.03990935192169,0.7516315418218906,0.6455463741125167,0.5321962635112054,0.42084132977193756,0.31928945154677524,0.2326380773882588,2.387705029582734,2.842533325173579,5.230238354756313,0.8787350852263377,0.7486302277876922,0.586706554889072,0.4218281645451125,0.27881747096220166,não,programado,Casa,Casa ou empate (1X),0.8376213613353896,0.8376213613353896,0.789606391186626,0.37277224747798443,0.46453625215076155,0.5022995737896574
9,29,2026-10-07,Internacional,Corinthians,0.46168318340189535,0.2767781285960042,0.2615386880021002,1.3272812797578701,0.9228575513024703,2.2501388310603407,0.390698117785273,0.6093018822147268,0.44128954688147987,0.7348031126200276,0.6026181382187557,1-0,0.14139109514932086,0.3440303524083253,0.6093018822147268,0.8094051287056397,0.5054335861720302,0.7055368326629431,0.8181019385534112,0.4653747762973144,0.5779398821877824,0.6285973434187584,0.31266835238138097,0.3633258136123568,0.3823235479906645,0.8961317039573032,0.6559696475916746,0.390698117785273,0.19059487129436017,0.0780297654038921,5.968669842240442,3.8106472987078464,9.779317140948288,0.7288515510436737,0.6184495732173957,0.5029262113470394,0.39178298011496393,0.2925200252119927,0.20957308356328475,3.07456858363564,3.0295750340431664,6.104143617678806,0.929842009725821,0.8391176122524735,0.7097809192721409,0.5589272183419214,0.4090479488202482,não,programado,Casa,Multi-gols 1-4,0.8181019385534112,0.7384613119978995,0.7232218714039955,0.5383168165981044,0.6093018822147269,0.5587104531185201
10,29,2026-10-07,Palmeiras,Bahia,0.6567067587545224,0.2038631129940463,0.139430128251431,1.9759557781203678,0.7757528127524246,2.7517085908727923,0.518969190642772,0.48103080935722786,0.46368851180929704,0.8613797164088592,0.5396429153970309,1-0,0.12724860314072797,0.24056796683096704,0.48103080935722786,0.7026514092725521,0.4183649293538209,0.6399855292691451,0.7924481528989182,0.46208344244158506,0.6145460660713581,0.6984546977164493,0.3740832235450973,0.45799185519018853,0.49647483054140484,0.9373341199965928,0.7594320331690328,0.518969190642772,0.2973485907274478,0.1448859670976747,6.656273337549983,4.222450422221171,10.878723759771155,0.8149917408752827,0.7241033400037004,0.6206714759621769,0.512448249979809,0.407330131169516,0.31179927222137316,2.4153022703785,2.8284976744471737,5.243799944825674,0.8797432404126404,0.7503050987866497,0.5888407954109005,0.42405213065791947,0.28079061954518747,não,programado,Casa,Casa ou empate (1X),0.8605698717485688,0.8605698717485688,0.7961368870059534,0.34329324124547733,0.481030809357228,0.536311488190703
