Home,Away,lambda_mandante,lambda_visitante,prob_H,prob_D,prob_A,gols_esperados_mandante,gols_esperados_visitante,gols_esperados_total,prob_over_25,prob_under_25,prob_ambas_marcam,prob_mandante_marca,prob_visitante_marca,placar_mais_provavel,prob_placar_mais_provavel,cotacao_minima_H,cotacao_minima_D,cotacao_minima_A,cotacao_minima_over_25,cotacao_minima_ambas_marcam,favorito
Athletico-PR,Atletico-MG,1.37969,1.00669,0.45587,0.26851,0.27561,1.37969,1.00669,2.38638,0.42673,0.57327,0.47338,0.74834,0.63457,1-0,0.12838,2.19359,3.72421,3.62829,2.34341,2.11248,Athletico-PR
Athletico-PR,Palmeiras,1.04363,1.25803,0.30797,0.27839,0.41364,1.04363,1.25803,2.30165,0.4044,0.5956,0.46216,0.64782,0.71579,1-1,0.12987,3.24704,3.59209,2.41757,2.4728,2.16375,Palmeiras
Athletico-PR,Remo,1.93488,0.88448,0.62103,0.21225,0.16672,1.93482,0.88448,2.8193,0.53514,0.46486,0.50107,0.85556,0.58707,1-0,0.1166,1.61022,4.71148,5.99813,1.86865,1.99571,Athletico-PR
Athletico-PR,Sao Paulo,1.33295,0.92473,0.46281,0.2761,0.2611,1.33295,0.92473,2.25768,0.39271,0.60729,0.44274,0.7363,0.60336,1-0,0.14093,2.16073,3.62192,3.83001,2.54641,2.25865,Athletico-PR
Athletico-PR,Vasco,1.74883,0.95927,0.56083,0.2325,0.20667,1.74881,0.95927,2.70808,0.50836,0.49164,0.5082,0.82602,0.61683,1-0,0.1179,1.78307,4.3011,4.83858,1.96712,1.96773,Athletico-PR
Atletico-MG,Bragantino,1.54847,0.95484,0.51288,0.25272,0.2344,1.54846,0.95484,2.50331,0.45704,0.54296,0.48295,0.78743,0.61513,1-0,0.12811,1.94976,3.957,4.2662,2.18801,2.07062,Atletico-MG
Atletico-MG,Corinthians,1.3975,0.89943,0.48685,0.26973,0.24342,1.3975,0.89943,2.29692,0.40315,0.59685,0.44507,0.75279,0.5932,1-0,0.14203,2.05404,3.70735,4.10814,2.48049,2.24686,Atletico-MG
Atletico-MG,Coritiba,1.96506,0.89204,0.62559,0.20947,0.16493,1.965,0.89204,2.85704,0.54404,0.45596,0.50629,0.85985,0.59018,1-0,0.11405,1.59848,4.77386,6.06313,1.83809,1.97517,Atletico-MG
Atletico-MG,Cruzeiro,1.29095,0.97944,0.43786,0.27834,0.2838,1.29095,0.97944,2.27039,0.39609,0.60391,0.45121,0.72499,0.62448,1-0,0.13485,2.28386,3.59273,3.52355,2.52465,2.21628,Atletico-MG
Atletico-MG,Santos,1.62794,0.9697,0.52917,0.24459,0.22624,1.62793,0.9697,2.59763,0.48098,0.51902,0.49754,0.80367,0.6208,1-0,0.12258,1.88976,4.08851,4.42,2.0791,2.00989,Atletico-MG
Atletico-MG,Vasco,1.78909,0.9591,0.57023,0.22852,0.20125,1.78906,0.9591,2.74817,0.51811,0.48189,0.5124,0.83289,0.61676,1-0,0.11587,1.75367,4.37599,4.96899,1.93011,1.95159,Atletico-MG
