time,pontos_atuais,pontos_esperados,posicao_media,prob_titulo,prob_g4,prob_g6,prob_z4
Flamengo RJ,60,79.2591,1.3175,0.6878,1.0,1.0,0.0
Palmeiras,57,76.8448,1.7134,0.311,0.9996,1.0,0.0
Athletico-PR,49,63.4549,4.1044,0.0007,0.6956,0.9432,0.0
Fluminense,48,63.0915,4.3563,0.0004,0.6199,0.9197,0.0
Cruzeiro,45,60.1337,5.3655,0.0001,0.3444,0.7692,0.0
Bahia,46,58.7363,6.1577,0.0,0.1956,0.6085,0.0
Atletico-MG,40,56.0604,7.3139,0.0,0.0966,0.3802,0.0002
Sao Paulo,36,52.0824,9.4659,0.0,0.0181,0.1246,0.0076
Bragantino,36,51.4145,9.8872,0.0,0.0125,0.0848,0.0096
Botafogo RJ,35,51.3386,10.1494,0.0,0.0059,0.0706,0.0138
Santos,38,51.3525,10.1932,0.0,0.011,0.0789,0.0145
Coritiba,38,47.7988,12.6415,0.0,0.0004,0.0092,0.0724
Mirassol,32,46.2572,13.5771,0.0,0.0003,0.0049,0.166
Vitoria,33,45.0593,14.2218,0.0,0.0001,0.0019,0.2239
Corinthians,32,45.0261,14.2865,0.0,0.0,0.0018,0.2321
Vasco,31,44.3816,14.6316,0.0,0.0,0.002,0.2806
Gremio,29,42.2811,15.8582,0.0,0.0,0.0001,0.4854
Internacional,28,42.2315,16.0092,0.0,0.0,0.0004,0.514
Remo,23,33.6253,18.8779,0.0,0.0,0.0,0.9805
Chapecoense-SC,18,27.3028,19.8718,0.0,0.0,0.0,0.9994
