faixa,n_observacoes,prob_media_prevista,frequencia_observada,sucessos,ic95_inferior,ic95_superior,diferenca_pp
0% a 10%,3706,0.07342,0.06152,228,0.05423,0.06972,-1.18965
10% a 20%,15043,0.15674,0.14831,2231,0.14272,0.15408,-0.84302
20% a 30%,41705,0.26127,0.25618,10684,0.25201,0.26039,-0.50898
30% a 40%,18795,0.3417,0.34084,6406,0.33409,0.34764,-0.08672
40% a 50%,12579,0.44848,0.45425,5714,0.44556,0.46296,0.57662
50% a 60%,7961,0.54854,0.56312,4483,0.5522,0.57398,1.45844
60% a 70%,5105,0.64773,0.66856,3413,0.65552,0.68134,2.08338
70% a 80%,2812,0.74589,0.77134,2169,0.75545,0.78648,2.5452
80% a 90%,1042,0.83492,0.86468,901,0.84257,0.88412,2.97633
90% a 100%,32,0.90958,0.96875,31,0.84255,0.99446,5.91732
