atributo,coef_A,coef_D,coef_H,magnitude_maxima
dif_elo,-0.206983,0.006045,0.200938,0.206983
elo_visitante,0.164007,-0.034859,-0.129147,0.164007
elo_mandante,-0.134609,-0.026146,0.160755,0.160755
dif_pontos_m10,0.056908,0.010888,-0.067797,0.067797
pontos_m10_mandante,0.051817,0.00561,-0.057428,0.057428
fin_sofridas_m5_mandante,0.055669,-0.020802,-0.034867,0.055669
gols_feitos_m10_visitante,0.044551,-0.021885,-0.022666,0.044551
fin_alvo_feitas_m10_visitante,-0.032231,0.04113,-0.008898,0.04113
fin_alvo_sofridas_m10_visitante,0.012034,-0.040834,0.0288,0.040834
fin_sofridas_m10_visitante,-0.040626,0.011119,0.029506,0.040626
esc_feitos_m10_visitante,0.039317,-0.023019,-0.016297,0.039317
pontos_m10_visitante,-0.028202,-0.009694,0.037897,0.037897
dif_gols_feitos_m10,-0.036287,0.007073,0.029214,0.036287
fin_alvo_feitas_m10_mandante,-0.03455,0.021117,0.013434,0.03455
esc_feitos_m5_mandante,-0.022351,-0.011079,0.03343,0.03343
gols_sofridos_m10_mandante,0.026377,0.005893,-0.03227,0.03227
fin_alvo_sofridas_m10_mandante,0.031577,-0.007388,-0.024189,0.031577
forma_mando_gols_5_mandante,0.006643,-0.03137,0.024727,0.03137
pontos_m5_visitante,-0.029919,0.019332,0.010586,0.029919
esc_sofridos_m5_visitante,-0.013632,-0.015862,0.029494,0.029494
dif_fin_alvo_feitas_m5,-0.027529,0.022428,0.005101,0.027529
dif_fin_alvo_sofridas_m5,-0.013555,-0.013702,0.027257,0.027257
dif_fin_sofridas_m5,0.026704,-0.01269,-0.014014,0.026704
fin_feitas_m5_mandante,0.019818,-0.025561,0.005743,0.025561
fin_feitas_m10_mandante,-0.003495,-0.022033,0.025528,0.025528
forma_mando_gols_5_visitante,0.024278,-0.004614,-0.019664,0.024278
promovido_visitante,0.022392,-0.024225,0.001834,0.024225
esc_sofridos_m10_mandante,0.017003,0.006964,-0.023968,0.023968
dif_fin_feitas_m10,-0.010674,-0.013076,0.02375,0.02375
gols_sofridos_m5_visitante,-0.004677,-0.017317,0.021994,0.021994
dif_fin_alvo_sofridas_m10,0.003376,0.01818,-0.021555,0.021555
dif_esc_feitos_m10,-0.021285,0.02048,0.000805,0.021285
dif_fin_alvo_feitas_m10,-0.013298,-0.007888,0.021186,0.021186
dif_esc_sofridos_m10,0.021012,-0.013726,-0.007286,0.021012
liga_SP1,-0.00918,-0.010793,0.019974,0.019974
esc_sofridos_m10_visitante,-0.018962,0.012675,0.006287,0.018962
dif_gols_sofridos_m10,0.017319,0.001316,-0.018635,0.018635
fin_feitas_m5_visitante,0.015516,-0.01846,0.002944,0.01846
fin_sofridas_m10_mandante,-0.018391,0.009251,0.00914,0.018391
gols_feitos_m10_mandante,-0.005929,-0.012158,0.018087,0.018087
promovido_mandante,-0.003561,-0.014381,0.017943,0.017943
dif_esc_sofridos_m5,-0.017341,0.00316,0.014181,0.017341
esc_feitos_m5_visitante,-0.017206,0.006039,0.011166,0.017206
liga_E0,0.016838,-0.01308,-0.003758,0.016838
fin_alvo_feitas_m5_mandante,-0.009969,0.015647,-0.005678,0.015647
fin_alvo_sofridas_m5_visitante,-0.015559,0.007035,0.008525,0.015559
dif_esc_feitos_m5,0.006566,-0.015088,0.008522,0.015088
esc_sofridos_m5_mandante,-0.014912,0.006411,0.008501,0.014912
liga_F1,-0.011753,0.014647,-0.002894,0.014647
pontos_m5_mandante,-0.010353,0.014174,-0.003822,0.014174
dif_pontos_m5,0.01402,-0.003717,-0.010303,0.01402
dif_gols_sofridos_m5,-0.002208,0.013673,-0.011465,0.013673
fin_alvo_feitas_m5_visitante,0.01323,-0.008199,-0.005031,0.01323
forma_mando_pontos_5_mandante,-0.013067,0.010092,0.002975,0.013067
dif_gols_feitos_m5,0.000191,-0.012273,0.012082,0.012273
forma_mando_pontos_5_visitante,-0.009302,-0.002209,0.011511,0.011511
fin_feitas_m10_visitante,0.01132,-0.00361,-0.00771,0.01132
gols_feitos_m5_mandante,-0.004014,-0.006596,0.01061,0.01061
liga_I1,-0.004012,0.010597,-0.006585,0.010597
gols_feitos_m5_visitante,-0.004194,0.010479,-0.006285,0.010479
dif_fin_sofridas_m10,0.009732,-0.001064,-0.008668,0.009732
fin_alvo_sofridas_m5_mandante,-0.006931,-0.001816,0.008747,0.008747
liga_D1,0.008745,-0.001387,-0.007357,0.008745
gols_sofridos_m5_mandante,-0.007636,0.001578,0.006058,0.007636
gols_sofridos_m10_visitante,0.002783,0.004126,-0.006909,0.006909
dif_fin_feitas_m5,0.00071,-0.003919,0.003209,0.003919
esc_feitos_m10_mandante,-0.001373,0.002928,-0.001554,0.002928
fin_sofridas_m5_visitante,0.001104,-0.001339,0.000235,0.001339
