divisao,temporada,situacao,origem,bytes_arquivo,detalhe
D1,0001,cache,espelho,51613,
D1,0102,cache,espelho,53961,
D1,0203,cache,espelho,44858,
D1,0304,cache,espelho,66831,
D1,0405,cache,espelho,67857,
D1,0506,cache,espelho,79148,
D1,0607,cache,espelho,80296,
D1,0708,cache,espelho,83700,
D1,0809,cache,espelho,84127,
D1,0910,cache,espelho,83642,
D1,1011,cache,espelho,84990,
D1,1112,cache,espelho,85125,
D1,1213,cache,espelho,89983,
D1,1314,cache,espelho,81743,
D1,1415,cache,espelho,79194,
D1,1516,cache,espelho,78179,
D1,1617,cache,espelho,78466,
D1,1718,cache,espelho,78641,
D1,1819,cache,espelho,75587,
D1,1920,cache,espelho,138965,
D1,2021,cache,espelho,139075,
D1,2122,cache,espelho,139177,
D1,2223,cache,espelho,139302,
D1,2324,cache,espelho,135825,
D1,2425,cache,espelho,156414,
D2,0001,cache,espelho,40690,
D2,0102,cache,espelho,47951,
D2,0203,cache,espelho,35871,
D2,0304,cache,espelho,41966,
D2,0405,cache,espelho,46025,
D2,0506,cache,espelho,70036,
D2,0607,cache,espelho,78734,
D2,0708,cache,espelho,74257,
D2,0809,cache,espelho,76463,
D2,0910,cache,espelho,76222,
D2,1011,cache,espelho,76806,
D2,1112,cache,espelho,77873,
D2,1213,cache,espelho,81639,
D2,1314,cache,espelho,74306,
D2,1415,cache,espelho,72300,
D2,1516,cache,espelho,71042,
D2,1617,cache,espelho,71481,
D2,1718,cache,espelho,80130,
D2,1819,cache,espelho,75832,
D2,1920,cache,espelho,139025,
D2,2021,cache,espelho,140043,
D2,2122,cache,espelho,140192,
D2,2223,cache,espelho,140871,
D2,2324,cache,espelho,137285,
D2,2425,cache,espelho,157178,
E0,0001,cache,espelho,62076,
E0,0102,cache,espelho,66230,
E0,0203,cache,espelho,72322,
E0,0304,cache,espelho,85438,
E0,0405,cache,espelho,85894,
E0,0506,cache,espelho,102129,
E0,0607,cache,espelho,102043,
E0,0708,cache,espelho,105683,
E0,0809,cache,espelho,106205,
E0,0910,cache,espelho,105752,
E0,1011,cache,espelho,106586,
E0,1112,cache,espelho,106303,
E0,1213,cache,espelho,113085,
E0,1314,cache,espelho,103642,
E0,1415,cache,espelho,100899,
E0,1516,cache,espelho,100656,
E0,1617,cache,espelho,99990,
E0,1718,cache,espelho,100734,
E0,1819,cache,espelho,96144,
E0,1920,cache,espelho,175475,
E0,2021,cache,espelho,175815,
E0,2122,cache,espelho,175363,
E0,2223,cache,espelho,176180,
E0,2324,cache,espelho,172196,
E0,2425,cache,espelho,197110,
E1,0001,cache,espelho,90009,
E1,0102,cache,espelho,96950,
E1,0203,cache,espelho,100443,
E1,0304,cache,espelho,123238,
E1,0405,cache,espelho,124323,
E1,0506,cache,espelho,148522,
E1,0607,cache,espelho,149034,
E1,0708,cache,espelho,155608,
E1,0809,cache,espelho,157327,
E1,0910,cache,espelho,156865,
E1,1011,cache,espelho,156897,
E1,1112,cache,espelho,157101,
E1,1213,cache,espelho,160814,
E1,1314,cache,espelho,151727,
E1,1415,cache,espelho,147773,
E1,1516,cache,espelho,145557,
E1,1617,cache,espelho,146364,
E1,1718,cache,espelho,146865,
E1,1819,cache,espelho,140915,
E1,1920,cache,espelho,254740,
E1,2021,cache,espelho,255966,
E1,2122,cache,espelho,255881,
E1,2223,cache,espelho,255779,
E1,2324,cache,espelho,251182,
E1,2425,cache,espelho,286983,
F1,0001,cache,espelho,28638,
F1,0102,cache,espelho,31999,
F1,0203,cache,espelho,45768,
F1,0304,cache,espelho,58843,
F1,0405,cache,espelho,65249,
F1,0506,cache,espelho,93075,
F1,0607,cache,espelho,95042,
F1,0708,cache,espelho,100311,
F1,0809,cache,espelho,101205,
F1,0910,cache,espelho,100639,
F1,1011,cache,espelho,100690,
F1,1112,cache,espelho,102658,
F1,1213,cache,espelho,110075,
F1,1314,cache,espelho,100451,
F1,1415,cache,espelho,96761,
F1,1516,cache,espelho,95146,
F1,1617,cache,espelho,94928,
F1,1718,cache,espelho,95353,
F1,1819,cache,espelho,91888,
F1,1920,cache,espelho,125011,
F1,2021,cache,espelho,170539,
F1,2122,cache,espelho,171274,
F1,2223,cache,espelho,171165,
F1,2324,cache,espelho,135000,
F1,2425,cache,espelho,154703,
F2,0001,cache,espelho,22145,
F2,0102,cache,espelho,26757,
F2,0203,cache,espelho,40267,
F2,0304,cache,espelho,50206,
F2,0405,cache,espelho,59453,
F2,0506,cache,espelho,86575,
F2,0607,cache,espelho,86867,
F2,0708,cache,espelho,90458,
F2,0809,cache,espelho,90755,
F2,0910,cache,espelho,90294,
F2,1011,cache,espelho,90379,
F2,1112,cache,espelho,90233,
F2,1213,cache,espelho,97015,
F2,1314,cache,espelho,87895,
F2,1415,cache,espelho,85476,
F2,1516,cache,espelho,84878,
F2,1617,cache,espelho,84654,
F2,1718,cache,espelho,96821,
F2,1819,cache,espelho,91815,
F2,1920,cache,espelho,125737,
F2,2021,cache,espelho,170365,
F2,2122,cache,espelho,170624,
F2,2223,cache,espelho,170203,
F2,2324,cache,espelho,167269,
F2,2425,cache,espelho,155252,
I1,0001,cache,espelho,29812,
I1,0102,cache,espelho,31741,
I1,0203,cache,espelho,41324,
I1,0304,cache,espelho,53721,
I1,0405,cache,espelho,69503,
I1,0506,cache,espelho,99857,
I1,0607,cache,espelho,100110,
I1,0708,cache,espelho,99808,
I1,0809,cache,espelho,100586,
I1,0910,cache,espelho,100607,
I1,1011,cache,espelho,102028,
I1,1112,cache,espelho,102400,
I1,1213,cache,espelho,109491,
I1,1314,cache,espelho,99710,
I1,1415,cache,espelho,96108,
I1,1516,cache,espelho,95127,
I1,1617,cache,espelho,95048,
I1,1718,cache,espelho,95137,
I1,1819,cache,espelho,91392,
I1,1920,cache,espelho,170130,
I1,2021,cache,espelho,170667,
I1,2122,cache,espelho,171204,
I1,2223,cache,espelho,171573,
I1,2324,cache,espelho,167015,
I1,2425,cache,espelho,191722,
I2,0001,cache,espelho,27106,
I2,0102,cache,espelho,28455,
I2,0203,cache,espelho,43224,
I2,0304,cache,espelho,74222,
I2,0405,cache,espelho,70874,
I2,0506,cache,espelho,104590,
I2,0607,cache,espelho,104385,
I2,0708,cache,espelho,109009,
I2,0809,cache,espelho,110576,
I2,0910,cache,espelho,108299,
I2,1011,cache,espelho,109688,
I2,1112,cache,espelho,111169,
I2,1213,cache,espelho,119566,
I2,1314,cache,espelho,107351,
I2,1415,cache,espelho,104774,
I2,1516,cache,espelho,102691,
I2,1617,cache,espelho,102631,
I2,1718,cache,espelho,117079,
I2,1819,cache,espelho,82327,
I2,1920,cache,espelho,169422,
I2,2021,cache,espelho,170381,
I2,2122,cache,espelho,171409,
I2,2223,cache,espelho,169009,
I2,2324,cache,espelho,166710,
I2,2425,cache,espelho,192674,
SP1,0001,cache,espelho,38966,
SP1,0102,cache,espelho,42369,
SP1,0203,cache,espelho,54790,
SP1,0304,cache,espelho,72830,
SP1,0405,cache,espelho,73451,
SP1,0506,cache,espelho,98942,
SP1,0607,cache,espelho,98966,
SP1,0708,cache,espelho,102708,
SP1,0809,cache,espelho,103886,
SP1,0910,cache,espelho,103451,
SP1,1011,cache,espelho,103698,
SP1,1112,cache,espelho,103977,
SP1,1213,cache,espelho,110545,
SP1,1314,cache,espelho,100249,
SP1,1415,cache,espelho,97119,
SP1,1516,cache,espelho,96045,
SP1,1617,cache,espelho,96226,
SP1,1718,cache,espelho,96801,
SP1,1819,cache,espelho,92914,
SP1,1920,cache,espelho,171484,
SP1,2021,cache,espelho,171721,
SP1,2122,cache,espelho,172174,
SP1,2223,cache,espelho,172199,
SP1,2324,cache,espelho,168164,
SP1,2425,cache,espelho,192863,
SP2,0001,cache,espelho,29254,
SP2,0102,cache,espelho,39298,
SP2,0203,cache,espelho,50761,
SP2,0304,cache,espelho,59844,
SP2,0405,cache,espelho,83053,
SP2,0506,cache,espelho,106881,
SP2,0607,cache,espelho,106952,
SP2,0708,cache,espelho,109202,
SP2,0809,cache,espelho,109890,
SP2,0910,cache,espelho,110544,
SP2,1011,cache,espelho,112527,
SP2,1112,cache,espelho,115054,
SP2,1213,cache,espelho,122149,
SP2,1314,cache,espelho,110653,
SP2,1415,cache,espelho,106268,
SP2,1516,cache,espelho,104203,
SP2,1617,cache,espelho,103750,
SP2,1718,cache,espelho,117387,
SP2,1819,cache,espelho,110019,
SP2,1920,cache,espelho,208074,
SP2,2021,cache,espelho,207328,
SP2,2122,cache,espelho,207787,
SP2,2223,cache,espelho,202621,
SP2,2324,cache,espelho,199754,
SP2,2425,cache,espelho,230032,
