atributo,queda_media_acuracia,desvio
dif_elo,0.014906,0.00239
elo_mandante,0.005472,0.001457
dif_fin_alvo_feitas_m10,0.002075,0.001199
dif_gols_feitos_m10,0.001887,0.000977
fin_feitas_m10_mandante,0.001811,0.000192
dif_fin_sofridas_m5,0.001623,0.000604
dif_esc_sofridos_m10,0.001509,0.000783
fin_feitas_m10_visitante,0.001509,0.000631
fin_alvo_feitas_m10_mandante,0.001396,0.00066
dif_esc_sofridos_m5,0.001396,0.000307
dif_pontos_m10,0.001358,0.001153
gols_feitos_m10_mandante,0.001321,0.000572
forma_mando_gols_5_mandante,0.001321,0.000643
fin_feitas_m5_mandante,0.001283,0.000589
esc_feitos_m5_mandante,0.001208,0.000256
fin_sofridas_m10_mandante,0.00117,0.000302
dif_esc_feitos_m10,0.00117,0.000302
dif_fin_alvo_feitas_m5,0.001132,0.001211
esc_sofridos_m5_visitante,0.001132,0.000396
fin_sofridas_m5_mandante,0.001132,0.000631
dif_pontos_m5,0.001094,0.000636
dif_fin_alvo_sofridas_m5,0.000981,0.000589
pontos_m10_mandante,0.000943,0.000462
dif_fin_feitas_m10,0.000906,0.000526
esc_feitos_m10_visitante,0.000868,0.000471
esc_feitos_m10_mandante,0.000868,0.000282
dif_esc_feitos_m5,0.00083,0.000555
dif_gols_sofridos_m10,0.00083,0.00058
dif_fin_feitas_m5,0.000792,0.000749
dif_gols_feitos_m5,0.000755,0.000572
gols_feitos_m5_mandante,0.000755,0.000239
fin_sofridas_m5_visitante,0.000717,0.000366
esc_feitos_m5_visitante,0.000679,0.000501
elo_visitante,0.000642,0.001728
promovido_mandante,0.000642,9.2e-05
fin_alvo_feitas_m5_mandante,0.000604,0.000366
fin_sofridas_m10_visitante,0.000604,0.000987
esc_sofridos_m10_visitante,0.000566,0.000696
esc_sofridos_m5_mandante,0.000566,0.000207
gols_sofridos_m10_mandante,0.000528,0.000277
pontos_m5_visitante,0.000528,0.000498
esc_sofridos_m10_mandante,0.000528,0.000346
gols_feitos_m10_visitante,0.000491,0.00089
forma_mando_pontos_5_mandante,0.000491,0.000307
dif_gols_sofridos_m5,0.000491,0.000256
forma_mando_gols_5_visitante,0.000491,0.000456
fin_alvo_sofridas_m10_visitante,0.000377,0.000267
pontos_m5_mandante,0.000377,0.000316
liga_E0,0.00034,0.000185
fin_alvo_sofridas_m5_mandante,0.000302,0.000307
fin_alvo_sofridas_m5_visitante,0.000264,0.000192
liga_I1,0.000189,0.0
gols_sofridos_m5_mandante,0.000151,0.000346
promovido_visitante,0.000151,0.000185
fin_feitas_m5_visitante,3.8e-05,0.000526
dif_fin_sofridas_m10,3.8e-05,0.001159
fin_alvo_feitas_m5_visitante,3.8e-05,0.000325
liga_F1,-0.0,0.000119
liga_D1,-3.8e-05,0.000185
liga_SP1,-7.5e-05,0.000192
dif_fin_alvo_sofridas_m10,-7.5e-05,0.001348
gols_feitos_m5_visitante,-0.000113,0.000256
gols_sofridos_m10_visitante,-0.000151,7.5e-05
fin_alvo_sofridas_m10_mandante,-0.000189,0.000267
forma_mando_pontos_5_visitante,-0.000189,0.000267
fin_alvo_feitas_m10_visitante,-0.000189,0.000119
pontos_m10_visitante,-0.000226,0.000613
gols_sofridos_m5_visitante,-0.000566,0.000207
