divisao,temporada,situacao,linhas,codificacao,linhas_vazias,linhas_malformadas,colunas_descartadas
E0,0001,ok,380,utf-8-sig,0,0,0
E0,0102,ok,380,utf-8-sig,0,0,0
E0,0203,ok,380,utf-8-sig,0,0,0
E0,0304,ok,380,utf-8-sig,0,0,0
E0,0405,ok,380,latin-1,0,0,0
E0,0506,ok,380,utf-8-sig,0,0,0
E0,0607,ok,380,utf-8-sig,0,0,0
E0,0708,ok,380,utf-8-sig,0,0,0
E0,0809,ok,380,utf-8-sig,0,0,0
E0,0910,ok,380,utf-8-sig,0,0,0
E0,1011,ok,380,utf-8-sig,0,0,0
E0,1112,ok,380,utf-8-sig,0,0,0
E0,1213,ok,380,utf-8-sig,0,0,0
E0,1314,ok,380,utf-8-sig,0,0,0
E0,1415,ok,380,utf-8-sig,1,0,0
E0,1516,ok,380,utf-8-sig,0,0,0
E0,1617,ok,380,utf-8-sig,0,0,0
E0,1718,ok,380,utf-8-sig,0,0,0
E0,1819,ok,380,utf-8-sig,0,0,0
E0,1920,ok,380,utf-8-sig,0,0,0
E0,2021,ok,380,utf-8-sig,0,0,0
E0,2122,ok,380,utf-8-sig,0,0,0
E0,2223,ok,380,utf-8-sig,0,0,0
E0,2324,ok,380,utf-8-sig,0,0,0
E0,2425,ok,380,utf-8-sig,0,0,0
SP1,0001,ok,380,utf-8-sig,0,0,0
SP1,0102,ok,380,utf-8-sig,0,0,0
SP1,0203,ok,380,utf-8-sig,0,0,0
SP1,0304,ok,380,utf-8-sig,0,0,0
SP1,0405,ok,380,utf-8-sig,0,0,0
SP1,0506,ok,380,utf-8-sig,0,0,0
SP1,0607,ok,380,utf-8-sig,0,0,0
SP1,0708,ok,380,utf-8-sig,0,0,0
SP1,0809,ok,380,utf-8-sig,0,0,0
SP1,0910,ok,380,utf-8-sig,0,0,0
SP1,1011,ok,380,utf-8-sig,0,0,0
SP1,1112,ok,380,utf-8-sig,0,0,0
SP1,1213,ok,380,utf-8-sig,0,0,0
SP1,1314,ok,380,utf-8-sig,0,0,0
SP1,1415,ok,380,utf-8-sig,0,0,0
SP1,1516,ok,380,utf-8-sig,0,0,0
SP1,1617,ok,380,utf-8-sig,0,0,0
SP1,1718,ok,380,utf-8-sig,0,0,0
SP1,1819,ok,380,utf-8-sig,0,0,0
SP1,1920,ok,380,utf-8-sig,0,0,0
SP1,2021,ok,380,utf-8-sig,0,0,0
SP1,2122,ok,380,utf-8-sig,0,0,0
SP1,2223,ok,380,utf-8-sig,0,0,0
SP1,2324,ok,380,utf-8-sig,0,0,0
SP1,2425,ok,380,utf-8-sig,0,0,0
I1,0001,ok,306,utf-8-sig,0,0,0
I1,0102,ok,306,utf-8-sig,0,0,0
I1,0203,ok,306,utf-8-sig,9,0,0
I1,0304,ok,306,utf-8-sig,0,0,0
I1,0405,ok,380,utf-8-sig,0,0,0
I1,0506,ok,380,utf-8-sig,0,0,0
I1,0607,ok,380,utf-8-sig,0,0,0
I1,0708,ok,380,utf-8-sig,0,0,0
I1,0809,ok,380,utf-8-sig,0,0,0
I1,0910,ok,380,utf-8-sig,0,0,0
I1,1011,ok,380,utf-8-sig,0,0,0
I1,1112,ok,380,utf-8-sig,0,0,0
I1,1213,ok,380,utf-8-sig,3,0,0
I1,1314,ok,380,utf-8-sig,0,0,0
I1,1415,ok,380,utf-8-sig,1,0,0
I1,1516,ok,380,utf-8-sig,1,0,0
I1,1617,ok,380,utf-8-sig,0,0,0
I1,1718,ok,380,utf-8-sig,0,0,0
I1,1819,ok,380,utf-8-sig,0,0,0
I1,1920,ok,380,utf-8-sig,0,0,0
I1,2021,ok,380,utf-8-sig,0,0,0
I1,2122,ok,380,utf-8-sig,0,0,0
I1,2223,ok,380,utf-8-sig,0,0,0
I1,2324,ok,380,utf-8-sig,0,0,0
I1,2425,ok,380,utf-8-sig,0,0,0
D1,0001,ok,306,latin-1,0,0,0
D1,0102,ok,306,latin-1,0,0,0
D1,0203,ok,306,utf-8-sig,1,0,0
D1,0304,ok,306,utf-8-sig,0,0,0
D1,0405,ok,306,utf-8-sig,0,0,0
D1,0506,ok,306,utf-8-sig,0,0,0
D1,0607,ok,306,utf-8-sig,0,0,0
D1,0708,ok,306,utf-8-sig,0,0,0
D1,0809,ok,306,utf-8-sig,0,0,0
D1,0910,ok,306,utf-8-sig,0,0,0
D1,1011,ok,306,utf-8-sig,0,0,0
D1,1112,ok,306,utf-8-sig,0,0,0
D1,1213,ok,306,utf-8-sig,0,0,0
D1,1314,ok,306,utf-8-sig,0,0,0
D1,1415,ok,306,utf-8-sig,0,0,0
D1,1516,ok,306,utf-8-sig,0,0,0
D1,1617,ok,306,utf-8-sig,0,0,0
D1,1718,ok,306,utf-8-sig,0,0,0
D1,1819,ok,306,utf-8-sig,0,0,0
D1,1920,ok,306,utf-8-sig,0,0,0
D1,2021,ok,306,utf-8-sig,0,0,0
D1,2122,ok,306,utf-8-sig,0,0,0
D1,2223,ok,306,utf-8-sig,0,0,0
D1,2324,ok,306,utf-8-sig,0,0,0
D1,2425,ok,306,utf-8-sig,0,0,0
F1,0001,ok,306,utf-8-sig,0,0,0
F1,0102,ok,306,utf-8-sig,0,0,0
F1,0203,ok,380,utf-8-sig,0,0,0
F1,0304,ok,380,utf-8-sig,0,0,0
F1,0405,ok,380,utf-8-sig,0,0,0
F1,0506,ok,380,utf-8-sig,0,0,0
F1,0607,ok,380,utf-8-sig,0,0,0
F1,0708,ok,380,utf-8-sig,0,0,0
F1,0809,ok,380,utf-8-sig,0,0,0
F1,0910,ok,380,utf-8-sig,0,0,0
F1,1011,ok,380,utf-8-sig,0,0,0
F1,1112,ok,380,utf-8-sig,0,0,0
F1,1213,ok,380,utf-8-sig,0,0,0
F1,1314,ok,380,utf-8-sig,1,0,0
F1,1415,ok,380,utf-8-sig,0,0,0
F1,1516,ok,380,utf-8-sig,1,0,0
F1,1617,ok,380,utf-8-sig,0,0,0
F1,1718,ok,380,utf-8-sig,0,0,0
F1,1819,ok,380,utf-8-sig,0,0,0
F1,1920,ok,279,utf-8-sig,0,0,0
F1,2021,ok,380,utf-8-sig,0,0,0
F1,2122,ok,380,utf-8-sig,0,0,0
F1,2223,ok,380,utf-8-sig,0,0,0
F1,2324,ok,306,utf-8-sig,0,0,0
F1,2425,ok,306,utf-8-sig,0,0,0
E1,0506,ok,552,utf-8-sig,0,0,0
E1,0607,ok,552,utf-8-sig,0,0,0
E1,0708,ok,552,utf-8-sig,0,0,0
E1,0809,ok,552,utf-8-sig,0,0,0
E1,0910,ok,552,utf-8-sig,0,0,0
E1,1011,ok,552,utf-8-sig,0,0,0
E1,1112,ok,552,utf-8-sig,0,0,0
E1,1213,ok,552,utf-8-sig,0,0,0
E1,1314,ok,552,utf-8-sig,0,0,0
E1,1415,ok,552,utf-8-sig,1,0,0
E1,1516,ok,552,utf-8-sig,0,0,0
E1,1617,ok,552,utf-8-sig,0,0,0
E1,1718,ok,552,utf-8-sig,0,0,0
E1,1819,ok,552,utf-8-sig,0,0,0
E1,1920,ok,552,utf-8-sig,0,0,0
E1,2021,ok,552,utf-8-sig,0,0,0
E1,2122,ok,552,utf-8-sig,0,0,0
E1,2223,ok,552,utf-8-sig,0,0,0
E1,2324,ok,552,utf-8-sig,0,0,0
E1,2425,ok,552,utf-8-sig,0,0,0
SP2,0506,ok,462,utf-8-sig,0,0,0
SP2,0607,ok,462,utf-8-sig,0,0,0
SP2,0708,ok,462,utf-8-sig,0,0,0
SP2,0809,ok,462,utf-8-sig,0,0,0
SP2,0910,ok,462,utf-8-sig,0,0,0
SP2,1011,ok,462,utf-8-sig,0,0,0
SP2,1112,ok,462,utf-8-sig,0,0,0
SP2,1213,ok,462,utf-8-sig,2,0,0
SP2,1314,ok,462,utf-8-sig,1,0,0
SP2,1415,ok,462,utf-8-sig,0,0,0
SP2,1516,ok,462,utf-8-sig,0,0,0
SP2,1617,ok,462,utf-8-sig,0,0,0
SP2,1718,ok,462,utf-8-sig,0,0,0
SP2,1819,ok,462,utf-8-sig,0,0,0
SP2,1920,ok,462,utf-8-sig,0,0,0
SP2,2021,ok,462,utf-8-sig,0,0,0
SP2,2122,ok,462,utf-8-sig,0,0,0
SP2,2223,ok,462,utf-8-sig,0,0,0
SP2,2324,ok,462,utf-8-sig,0,0,0
SP2,2425,ok,462,utf-8-sig,0,0,0
I2,0506,ok,462,utf-8-sig,0,0,0
I2,0607,ok,462,utf-8-sig,0,0,0
I2,0708,ok,462,utf-8-sig,0,0,0
I2,0809,ok,462,utf-8-sig,0,0,0
I2,0910,ok,462,utf-8-sig,0,0,0
I2,1011,ok,462,utf-8-sig,0,0,0
I2,1112,ok,462,utf-8-sig,0,0,0
I2,1213,ok,462,utf-8-sig,5,0,0
I2,1314,ok,462,utf-8-sig,1,0,0
I2,1415,ok,462,utf-8-sig,2,0,0
I2,1516,ok,462,utf-8-sig,0,0,0
I2,1617,ok,462,utf-8-sig,0,0,0
I2,1718,ok,462,utf-8-sig,0,0,0
I2,1819,ok,342,latin-1,0,0,0
I2,1920,ok,380,utf-8-sig,0,0,0
I2,2021,ok,380,utf-8-sig,0,0,0
I2,2122,ok,380,utf-8-sig,0,0,0
I2,2223,ok,380,utf-8-sig,0,0,0
I2,2324,ok,380,utf-8-sig,0,0,0
I2,2425,ok,380,utf-8-sig,0,0,0
D2,0506,ok,306,utf-8-sig,0,0,0
D2,0607,ok,306,utf-8-sig,0,0,0
D2,0708,ok,306,utf-8-sig,0,0,0
D2,0809,ok,306,utf-8-sig,0,0,0
D2,0910,ok,306,utf-8-sig,0,0,0
D2,1011,ok,306,utf-8-sig,0,0,0
D2,1112,ok,306,utf-8-sig,0,0,0
D2,1213,ok,306,utf-8-sig,0,0,0
D2,1314,ok,306,utf-8-sig,0,0,0
D2,1415,ok,306,utf-8-sig,0,0,0
D2,1516,ok,306,utf-8-sig,0,0,0
D2,1617,ok,306,utf-8-sig,0,0,0
D2,1718,ok,306,utf-8-sig,0,0,0
D2,1819,ok,306,utf-8-sig,0,0,0
D2,1920,ok,306,utf-8-sig,0,0,0
D2,2021,ok,306,utf-8-sig,0,0,0
D2,2122,ok,306,utf-8-sig,0,0,0
D2,2223,ok,306,utf-8-sig,0,0,0
D2,2324,ok,306,utf-8-sig,0,0,0
D2,2425,ok,306,utf-8-sig,0,0,0
F2,0506,ok,380,utf-8-sig,0,0,0
F2,0607,ok,380,utf-8-sig,0,0,0
F2,0708,ok,380,utf-8-sig,0,0,0
F2,0809,ok,380,utf-8-sig,0,0,0
F2,0910,ok,380,utf-8-sig,0,0,0
F2,1011,ok,380,utf-8-sig,0,0,0
F2,1112,ok,380,utf-8-sig,0,0,0
F2,1213,ok,380,utf-8-sig,1,0,0
F2,1314,ok,380,utf-8-sig,0,0,0
F2,1415,ok,380,utf-8-sig,0,0,0
F2,1516,ok,380,utf-8-sig,0,0,0
F2,1617,ok,380,utf-8-sig,0,0,0
F2,1718,ok,380,utf-8-sig,0,0,0
F2,1819,ok,380,utf-8-sig,0,0,0
F2,1920,ok,280,utf-8-sig,0,0,0
F2,2021,ok,380,utf-8-sig,0,0,0
F2,2122,ok,380,utf-8-sig,0,0,0
F2,2223,ok,380,utf-8-sig,0,0,0
F2,2324,ok,379,utf-8-sig,0,0,0
F2,2425,ok,306,utf-8-sig,0,0,0
