operador,ano_temporada,temporada,n_partidas,cobertura_pct,margem_media_pct,margem_mediana_pct
Bet365,2005,2005/06,1824,100.0,9.234,8.14
Bet365,2006,2006/07,1826,100.0,8.502,7.972
Bet365,2007,2007/08,1826,100.0,6.66,6.532
Bet365,2008,2008/09,1826,100.0,6.251,6.349
Bet365,2009,2009/10,1825,100.0,6.256,6.332
Bet365,2010,2010/11,1824,100.0,6.332,6.41
Bet365,2011,2011/12,1826,100.0,6.234,6.299
Bet365,2012,2012/13,1826,100.0,5.927,6.25
Bet365,2013,2013/14,1826,100.0,5.629,6.326
Bet365,2014,2014/15,1826,100.0,4.946,5.091
Bet365,2015,2015/16,1825,100.0,4.639,4.977
Bet365,2016,2016/17,1826,100.0,4.637,4.91
Bet365,2017,2017/18,1826,100.0,4.773,5.03
Bet365,2018,2018/19,1826,100.0,4.739,5.031
Bet365,2019,2019/20,1725,100.0,5.394,5.276
Bet365,2020,2020/21,1822,100.0,5.625,5.556
Bet365,2021,2021/22,1825,100.0,5.425,5.374
Bet365,2022,2022/23,1826,100.0,5.379,5.363
Bet365,2023,2023/24,1752,100.0,5.395,5.386
Bet365,2024,2024/25,1752,100.0,5.556,5.517
Bet&Win,2005,2005/06,1824,100.0,10.12,10.123
Bet&Win,2006,2006/07,1826,100.0,10.11,10.146
Bet&Win,2007,2007/08,1826,100.0,10.141,10.144
Bet&Win,2008,2008/09,1824,99.9,10.125,10.119
Bet&Win,2009,2009/10,1816,99.5,8.267,8.233
Bet&Win,2010,2010/11,1821,99.8,7.997,8.141
Bet&Win,2011,2011/12,1826,100.0,6.511,6.964
Bet&Win,2012,2012/13,1823,99.8,6.48,6.687
Bet&Win,2013,2013/14,1826,100.0,6.601,6.596
Bet&Win,2014,2014/15,1826,100.0,6.284,6.922
Bet&Win,2015,2015/16,1824,99.9,6.157,6.749
Bet&Win,2016,2016/17,1826,100.0,5.269,5.103
Bet&Win,2017,2017/18,1826,100.0,5.159,5.073
Bet&Win,2018,2018/19,1826,100.0,5.117,5.076
Bet&Win,2019,2019/20,1725,100.0,5.192,5.104
Bet&Win,2020,2020/21,1821,99.9,5.079,5.063
Bet&Win,2021,2021/22,1824,99.9,5.66,5.634
Bet&Win,2022,2022/23,1826,100.0,5.84,5.839
Bet&Win,2023,2023/24,1712,97.7,5.765,5.753
Interwetten,2005,2005/06,1821,99.8,12.22,11.67
Interwetten,2006,2006/07,1823,99.8,11.329,11.317
Interwetten,2007,2007/08,1825,99.9,11.325,11.294
Interwetten,2008,2008/09,1819,99.6,10.171,11.111
Interwetten,2009,2009/10,1820,99.7,8.429,8.145
Interwetten,2010,2010/11,1820,99.8,10.193,10.122
Interwetten,2011,2011/12,1823,99.8,10.114,10.062
Interwetten,2012,2012/13,1823,99.8,8.503,8.081
Interwetten,2013,2013/14,1822,99.8,8.059,8.04
Interwetten,2014,2014/15,1816,99.5,8.051,8.039
Interwetten,2015,2015/16,1825,100.0,8.041,8.039
Interwetten,2016,2016/17,1821,99.7,6.756,5.868
Interwetten,2017,2017/18,1825,99.9,6.135,5.682
Interwetten,2018,2018/19,1826,100.0,5.32,5.339
Interwetten,2019,2019/20,1725,100.0,5.269,5.275
Interwetten,2020,2020/21,1822,100.0,5.438,5.284
Interwetten,2021,2021/22,1825,100.0,5.007,5.031
Interwetten,2022,2022/23,1826,100.0,5.029,5.057
Pinnacle,2012,2012/13,1822,99.8,2.145,2.059
Pinnacle,2013,2013/14,1825,99.9,2.123,2.048
Pinnacle,2014,2014/15,1824,99.9,2.108,2.043
Pinnacle,2015,2015/16,1824,99.9,2.115,2.047
Pinnacle,2016,2016/17,1821,99.7,2.131,2.052
Pinnacle,2017,2017/18,1822,99.8,2.288,2.277
Pinnacle,2018,2018/19,1824,99.9,2.696,2.629
Pinnacle,2019,2019/20,1723,99.9,3.16,3.142
Pinnacle,2020,2020/21,1821,99.9,2.582,2.388
Pinnacle,2021,2021/22,1824,99.9,2.546,2.371
Pinnacle,2022,2022/23,1826,100.0,2.616,2.494
Pinnacle,2023,2023/24,1752,100.0,3.431,3.383
Pinnacle,2024,2024/25,1752,100.0,3.601,3.52
William Hill,2005,2005/06,1824,100.0,12.477,12.513
William Hill,2006,2006/07,1824,99.9,12.503,12.526
William Hill,2008,2008/09,1824,99.9,10.498,12.258
William Hill,2009,2009/10,1823,99.9,9.591,9.557
William Hill,2010,2010/11,1823,99.9,6.655,6.449
William Hill,2011,2011/12,1826,100.0,6.559,6.452
William Hill,2012,2012/13,1826,100.0,6.425,6.368
William Hill,2013,2013/14,1825,99.9,6.315,6.279
William Hill,2014,2014/15,1824,99.9,6.254,6.183
William Hill,2015,2015/16,1825,100.0,6.102,6.039
William Hill,2016,2016/17,1825,99.9,5.11,5.0
William Hill,2017,2017/18,1826,100.0,5.868,6.017
William Hill,2018,2018/19,1826,100.0,5.472,5.334
William Hill,2019,2019/20,1725,100.0,5.376,5.255
William Hill,2020,2020/21,1821,99.9,5.433,5.303
William Hill,2021,2021/22,1825,100.0,6.073,6.087
William Hill,2022,2022/23,1824,99.9,6.253,6.039
William Hill,2023,2023/24,1752,100.0,7.701,7.212
VC Bet,2005,2005/06,1800,98.7,11.232,11.856
VC Bet,2006,2006/07,1802,98.7,11.566,12.195
VC Bet,2007,2007/08,1822,99.8,10.037,10.673
VC Bet,2008,2008/09,1825,99.9,9.361,10.0
VC Bet,2009,2009/10,1820,99.7,8.278,8.123
VC Bet,2010,2010/11,1813,99.4,4.152,3.571
VC Bet,2011,2011/12,1826,100.0,3.386,3.232
VC Bet,2012,2012/13,1824,99.9,3.121,2.997
VC Bet,2013,2013/14,1826,100.0,3.054,2.916
VC Bet,2014,2014/15,1826,100.0,2.888,2.692
VC Bet,2015,2015/16,1824,99.9,3.239,3.059
VC Bet,2016,2016/17,1826,100.0,3.746,3.824
VC Bet,2017,2017/18,1826,100.0,3.726,3.789
VC Bet,2018,2018/19,1825,99.9,3.684,3.798
VC Bet,2019,2019/20,1725,100.0,5.247,5.128
VC Bet,2020,2020/21,1821,99.9,5.921,5.857
VC Bet,2021,2021/22,1825,100.0,6.268,6.151
VC Bet,2022,2022/23,1825,99.9,7.239,6.847
VC Bet,2023,2023/24,1752,100.0,6.68,6.079
Média de mercado,2005,2005/06,1824,100.0,10.16,10.181
Média de mercado,2006,2006/07,1826,100.0,9.668,9.705
Média de mercado,2007,2007/08,1826,100.0,8.908,8.909
Média de mercado,2008,2008/09,1825,99.9,8.089,8.091
Média de mercado,2009,2009/10,1825,100.0,7.402,7.439
Média de mercado,2010,2010/11,1824,100.0,6.771,6.693
Média de mercado,2011,2011/12,1826,100.0,6.619,6.598
Média de mercado,2012,2012/13,1826,100.0,6.205,6.167
Média de mercado,2013,2013/14,1826,100.0,5.979,5.989
Média de mercado,2014,2014/15,1826,100.0,5.428,5.431
Média de mercado,2015,2015/16,1825,100.0,5.435,5.485
Média de mercado,2016,2016/17,1826,100.0,4.883,4.913
Média de mercado,2017,2017/18,1826,100.0,5.079,5.076
Média de mercado,2018,2018/19,1826,100.0,4.697,4.737
Média de mercado,2019,2019/20,1725,100.0,4.81,4.86
Média de mercado,2020,2020/21,1822,100.0,4.755,4.764
Média de mercado,2021,2021/22,1825,100.0,4.424,4.427
Média de mercado,2022,2022/23,1826,100.0,4.404,4.404
Média de mercado,2023,2023/24,1752,100.0,4.368,4.348
Média de mercado,2024,2024/25,1752,100.0,4.768,4.775
